注文コード,注文日時,会員番号,氏名,メール,郵便番号,住所,TEL,商品コード,商品名,価格,数量
1,2019-08-27 12:03:58,0,てすとくん,test@example.com,123-4567,テスト県テスト市テスト村1-2-3,0120-000-2222,10,ビール,240,10
1,2019-08-27 12:03:58,0,てすとくん,test@example.com,123-4567,テスト県テスト市テスト村1-2-3,0120-000-2222,15,onopan,1024,1
1,2019-08-27 12:03:58,0,てすとくん,test@example.com,123-4567,テスト県テスト市テスト村1-2-3,0120-000-2222,18,クロロホルム,65535,5
2,2019-08-27 12:17:32,0,てすとくん,test@example.com,123-4567,テスト県テスト市テスト村1-2-3,0120-000-2222,10,ビール,240,10
2,2019-08-27 12:17:32,0,てすとくん,test@example.com,123-4567,テスト県テスト市テスト村1-2-3,0120-000-2222,15,onopan,1024,1
2,2019-08-27 12:17:32,0,てすとくん,test@example.com,123-4567,テスト県テスト市テスト村1-2-3,0120-000-2222,18,クロロホルム,65535,5
3,2019-08-27 12:19:36,0,てすとくん,test@example.com,123-4567,テスト県テスト市テスト村1-2-3,0120-000-2222,10,ビール,240,10
3,2019-08-27 12:19:36,0,てすとくん,test@example.com,123-4567,テスト県テスト市テスト村1-2-3,0120-000-2222,15,onopan,1024,1
3,2019-08-27 12:19:36,0,てすとくん,test@example.com,123-4567,テスト県テスト市テスト村1-2-3,0120-000-2222,18,クロロホルム,65535,5
4,2019-08-27 12:23:22,0,aaaaaaaa,eeeeee@aaa.aaa,111-1111,111111111111111,1111-1111-111,10,ビール,240,10
4,2019-08-27 12:23:22,0,aaaaaaaa,eeeeee@aaa.aaa,111-1111,111111111111111,1111-1111-111,15,onopan,1024,1
4,2019-08-27 12:23:22,0,aaaaaaaa,eeeeee@aaa.aaa,111-1111,111111111111111,1111-1111-111,18,クロロホルム,65535,5
